Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
417481,CIM,Càmera mòbil,94,Mastil,2,Eixample,8,l'Antiga Esquerra de l'Eixample,429579299,4582023174,2.1577329,41.3866562,2000-01-01T00:00:00Z
417484,CIM,Càmera mòbil,1,Mastil,2,Eixample,7,la Dreta de l'Eixample,430204160,4582080361,2.1651992,41.3872254,1900-01-01T00:00:00Z
417485,CIF,Càmera fixa,129,Mastil,2,Eixample,7,la Dreta de l'Eixample,430204160,4582080361,2.1651992,41.3872254,1900-01-01T00:00:00Z
417488,DOMO,Càmera mòbil,2,Mastil,2,Eixample,7,la Dreta de l'Eixample,430802217,4582239721,2.1723334,41.3887123,2000-01-01T00:00:00Z
417489,CIF,Càmera fixa,122,Mastil,2,Eixample,7,la Dreta de l'Eixample,430802217,4582239721,2.1723334,41.3887123,2000-01-01T00:00:00Z
417493,CIM,Càmera mòbil,9,Mastil,2,Eixample,7,la Dreta de l'Eixample,430198319,4582629625,2.1650661,41.392172,2000-01-01T00:00:00Z
417494,CIF,Càmera fixa,117,Mastil,2,Eixample,7,la Dreta de l'Eixample,430198319,4582629625,2.1650661,41.392172,2000-01-01T00:00:00Z
417496,CIM,Càmera mòbil,21,Mastil,2,Eixample,7,la Dreta de l'Eixample,430206849,4582849531,2.1651427,41.3941533,2000-01-01T00:00:00Z
417498,CIM,Càmera mòbil,97,Mastil,2,Eixample,8,l'Antiga Esquerra de l'Eixample,429814094,4582467419,2.1604895,41.3906773,2000-01-01T00:00:00Z
417502,CIM,Càmera mòbil,95,Mastil,2,Eixample,8,l'Antiga Esquerra de l'Eixample,429352701,4582406023,2.1549783,41.3900843,2000-01-01T00:00:00Z
