"idClienteEprinsa","AñoMes","Identificador","NumLámparasTotal","NumLámparasMercurio","NumLámparasHalogenuros","NumLámparasFluorescentes","NumLámparasSodio","NumLámparasLED","NumLámparasOtros","Tipo","Dirección","Descripción","CoordenadaX","CoordenadaY"
"1009","202406","NDA.ENE.007.1814277","955","0","917","0","0","38","0","Halogenuros","Calle Calatrava, 9","Puntos de luz - BELMEZ  - idSig: 1814277","306927","4238052"
"1009","202406","NDA.ENE.007.1814415","955","0","917","0","0","38","0","Halogenuros","Calle Nava, 39","Puntos de luz - BELMEZ  - idSig: 1814415","306967","4238323"
"1009","202406","NDA.ENE.007.1814544","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814544","301120","4232726"
"1009","202406","NDA.ENE.007.1814132","955","0","917","0","0","38","0","LED","Calle Peñarroya-Pueblonuevo, 58","Puntos de luz - BELMEZ  - idSig: 1814132","307317","4238232"
"1009","202406","NDA.ENE.007.1814444","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814444","307099","4238789"
"1009","202406","NDA.ENE.007.1814561","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814561","307229","4231849"
"1009","202406","NDA.ENE.007.1813871","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813871","306332","4238617"
"1009","202406","NDA.ENE.007.1814216","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814216","306791","4237884"
"1009","202406","NDA.ENE.007.1813921","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813921","306785","4237819"
"1009","202406","NDA.ENE.007.1814032","955","0","917","0","0","38","0","Halogenuros","Calle Santo, 15","Puntos de luz - BELMEZ  - idSig: 1814032","306842","4238177"
"1009","202406","NDA.ENE.007.1814599","955","0","917","0","0","38","0","Halogenuros","Calle Córdoba, 95","Puntos de luz - BELMEZ  - idSig: 1814599","307274","4238001"
"1009","202406","NDA.ENE.007.1814414","955","0","917","0","0","38","0","Halogenuros","Calle Nava, 22","Puntos de luz - BELMEZ  - idSig: 1814414","306950","4238330"
"1009","202406","NDA.ENE.007.1814654","955","0","917","0","0","38","0","Halogenuros","Calle Real {Hoyo}, 24","Puntos de luz - BELMEZ  - idSig: 1814654","299264","4235627"
"1009","202406","NDA.ENE.007.1813925","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813925","306767","4237836"
"1009","202406","NDA.ENE.007.1814237","955","0","917","0","0","38","0","Halogenuros","Avenida de la Universidad, 33","Puntos de luz - BELMEZ  - idSig: 1814237","306921","4237704"
"1009","202406","NDA.ENE.007.1814384","955","0","917","0","0","38","0","Halogenuros","Calle Torres Quevedo, 37","Puntos de luz - BELMEZ  - idSig: 1814384","307154","4238725"
"1009","202406","NDA.ENE.007.1814222","955","0","917","0","0","38","0","Halogenuros","Calle Parque, 13","Puntos de luz - BELMEZ  - idSig: 1814222","306825","4237925"
"1009","202406","NDA.ENE.007.1814573","955","0","917","0","0","38","0","Halogenuros","Calle Francisco Pérez, 13","Puntos de luz - BELMEZ  - idSig: 1814573","307300","4231722"
"1009","202406","NDA.ENE.007.1814311","955","0","917","0","0","38","0","Halogenuros","Calle Echegaray, 21","Puntos de luz - BELMEZ  - idSig: 1814311","307062","4237989"
"1009","202406","NDA.ENE.007.1814449","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814449","307042","4238789"
"1009","202406","NDA.ENE.007.1814711","955","0","917","0","0","38","0","Halogenuros","Calle San José, 15","Puntos de luz - BELMEZ  - idSig: 1814711","306606","4238190"
"1009","202406","NDA.ENE.007.1814560","955","0","917","0","0","38","0","Halogenuros","Calle Enrique Suárez, 3","Puntos de luz - BELMEZ  - idSig: 1814560","307331","4231737"
"1009","202406","NDA.ENE.007.1814419","955","0","917","0","0","38","0","Halogenuros","Plaza Andalucía, 10","Puntos de luz - BELMEZ  - idSig: 1814419","306936","4238444"
"1009","202406","NDA.ENE.007.1814459","955","0","917","0","0","38","0","Halogenuros","Calle Pilar, 10","Puntos de luz - BELMEZ  - idSig: 1814459","306766","4238465"
